Trial_num,image_path,image_name,object_type
Trial # 1/300,Object2/resin/resin2.jpg,resin2,resin
Trial # 2/300,Object2/cheesecake/cheesecake4.jpg,cheesecake4,cheesecake
Trial # 3/300,Object2/honeycomb/honeycomb4.jpg,honeycomb4,honeycomb
Trial # 4/300,Object2/fluorite/bluefluorite1.jpg,bluefluorite1,fluorite
Trial # 5/300,Object2/cheese/cheese14.jpg,cheese14,cheese
Trial # 6/300,Object2/selenite/selenite3.jpg,selenite3,selenite
Trial # 7/300,Object2/scallops/Scallops3.jpg,Scallops3,scallops
Trial # 8/300,Object2/cream/cream4.jpg,cream4,cream
Trial # 9/300,Object2/wax/PinkWax2.jpg,PinkWax2,wax
Trial # 10/300,Object2/caramelcandy/caramelcandy3.jpg,caramelcandy3,caramelcandy
Trial # 11/300,Object2/rockcandy/rockcandy2.jpg,rockcandy2,rockcandy
Trial # 12/300,Object2/stone/stone1.jpg,stone1,stone
Trial # 13/300,Object2/jade/jade12.jpg,jade12,jade
Trial # 14/300,Object2/watermelonchunk/watermelonchunk2.jpg,watermelonchunk2,watermelonchunk
Trial # 15/300,Object2/plastic/keycap2.jpg,keycap2,plastic
Trial # 16/300,Object2/botryoidal/botryoidal1.jpg,botryoidal1,botryoidal
Trial # 17/300,Object2/wood/woodcube1.jpg,woodcube1,wood
Trial # 18/300,Object2/concrete/concrete2.jpg,concrete2,concrete
Trial # 19/300,Object2/avacado/avacado6.jpg,avacado6,avacado
Trial # 20/300,Object2/honeycandy/honeycandy2.jpg,honeycandy2,honeycandy
Trial # 21/300,Object2/grapefruit/grapefruit5.jpg,grapefruit5,grapefruit
Trial # 22/300,Object2/grapefruit/grapefruit4.jpg,grapefruit4,grapefruit
Trial # 23/300,Object2/mangojelly/mangojelly3.jpg,mangojelly3,mangojelly
Trial # 24/300,Object2/waxcube/waxcube3.jpg,waxcube3,waxcube
Trial # 25/300,Object2/metal/metal8.jpg,metal8,metal
Trial # 26/300,Object2/soywax/soywax2.jpg,soywax2,soywax
Trial # 27/300,Object2/crystal/crystal3.jpg,crystal3,crystal
Trial # 28/300,Object2/chickennugget/chickennugget3.jpg,chickennugget3,chickennugget
Trial # 29/300,Object2/fluorite/fluorite2.jpg,fluorite2,fluorite
Trial # 30/300,Object2/pearl/pearl1.jpg,pearl1,pearl
Trial # 31/300,Object2/fudge/fudge5.jpg,fudge5,fudge
Trial # 32/300,Object2/mochi/mochi1.jpg,mochi1,mochi
Trial # 33/300,Object2/soaps/sulfursoap2.jpg,sulfursoap2,soaps
Trial # 34/300,Object2/tofu/tofu5.jpg,tofu5,tofu
Trial # 35/300,Object2/PearlOnion/PearlOnion2.jpg,PearlOnion2,PearlOnion
Trial # 36/300,Object2/caviar/caviar2.jpg,caviar2,caviar
Trial # 37/300,Object2/wood/wood14.jpg,wood14,wood
Trial # 38/300,Object2/crystal/greencrystal.jpg,greencrystal,crystal
Trial # 39/300,Object2/kiwi/kiwi7.jpg,kiwi7,kiwi
Trial # 40/300,Object2/peeledorange/peeledorange1.jpg,peeledorange1,peeledorange
Trial # 41/300,Object2/pineapple/pineapple2.jpg,pineapple2,pineapple
Trial # 42/300,Object2/stone/greenston2.jpg,greenston2,stone
Trial # 43/300,Object2/cheesewax/cheesewax4.jpg,cheesewax4,cheesewax
Trial # 44/300,Object2/polymer/urethane1.jpg,urethane1,polymer
Trial # 45/300,Object2/cocoon/cocoon2.jpg,cocoon2,cocoon
Trial # 46/300,Object2/clay/clay12.jpg,clay12,clay
Trial # 47/300,Object2/soaps/soap3BB.jpg,soap3BB,soaps
Trial # 48/300,Object2/PearlOnion/PearlOnion3.jpg,PearlOnion3,PearlOnion
Trial # 49/300,Object2/meat/meat3BB.jpg,meat3BB,meat
Trial # 50/300,Object2/parsimmon/persimmon2.jpg,persimmon2,parsimmon
Trial # 51/300,Object2/plasticfruit/plastic1BB.jpg,plastic1BB,plasticfruit
Trial # 52/300,Object2/palmivory/palmivory1.jpg,palmivory1,palmivory
Trial # 53/300,Object2/fluorite/fluorite6.jpg,fluorite6,fluorite
Trial # 54/300,Object2/plasticbowl/bowl6.jpg,bowl6,plasticbowl
Trial # 55/300,Object2/ivory/ivory2.jpg,ivory2,ivory
Trial # 56/300,Object2/dougao/dougao3.jpg,dougao3,dougao
Trial # 57/300,Object2/ruber/tire1.jpg,tire1,ruber
Trial # 58/300,Object2/quartz/quartz3.jpg,quartz3,quartz
Trial # 59/300,Object2/beewax/beeswax3.jpg,beeswax3,beewax
Trial # 60/300,Object2/dougao/dougao1.jpg,dougao1,dougao
Trial # 61/300,Object2/LemonSlice/limeslice1.jpg,limeslice1,LemonSlice
Trial # 62/300,Object2/GlycerinSoap/glycerin4.jpg,glycerin4,GlycerinSoap
Trial # 63/300,Object2/bluejelly/bluejelly.jpg,bluejelly,bluejelly
