,image_name,see_throughness,glossiness,softness,glow,density,label
0,palmivory4,1,4,2,3,5,1
1,soywax2,1,4,2,3,4,1
2,grapefruit5,2,4,5,4,3,1
3,soapBB,1,1,5,1,3,1
4,bun3,4,3,6,4,2,0
5,JellyMooncake6,2,4,4,3,3,1
6,caramelcandy5,2,5,5,3,2,1
7,greencrystal,5,5,2,5,4,0
8,bronze1,1,5,1,2,5,1
9,selenite2,1,5,1,4,5,1
10,shrimp1,4,4,5,4,2,0
11,quartz10BB,3,6,1,4,5,0
12,ivory1,1,1,1,1,5,1
13,colorsoap2,1,2,2,2,5,1
14,wax14,3,4,2,3,4,1
15,peachslice2,2,3,3,3,2,1
16,yellowstone6BB,4,5,1,4,5,1
17,snowball3,1,1,6,2,2,1
18,quartz3,4,4,2,3,5,0
19,caviar2,6,5,5,4,1,0
20,glasscup1,6,5,1,2,5,0
21,resin3,4,4,2,5,5,0
22,PearlOnion2,3,4,2,3,4,1
23,sugarcube4,1,1,5,1,4,1
24,greensoap1,5,5,3,5,4,0
25,lightbulb1,5,6,2,3,6,0
26,soap7,1,1,5,1,4,1
27,dougao3,1,2,5,2,3,1
28,peeledlemon3,4,3,4,4,5,0
29,wax13,5,5,3,4,3,0
30,metal14,1,5,2,5,4,1
31,sweetpotato1,1,2,5,4,2,1
32,ice6,1,1,1,5,5,1
33,baozi2,1,1,6,1,2,1
34,glycerin4,4,3,4,4,3,0
35,mangojelly5,4,2,3,4,3,1
36,egg7,3,6,4,2,2,1
37,mochi17,1,1,4,1,4,1
38,fishmeat7,2,3,4,2,2,1
39,turnipslice2,4,3,6,4,1,1
40,plasticgear1,4,4,2,5,4,1
41,cream4,1,1,6,2,1,1
42,tuna2,1,2,6,2,2,1
43,ice2,1,1,2,2,3,1
44,marshmallow5,1,1,6,1,1,1
45,fishmeat6,2,4,5,4,2,1
46,lemonwedge4,4,4,5,4,1,0
47,choppedpotato3,1,3,4,3,3,1
48,keycap2,2,6,3,3,4,1
49,persimmon1,2,4,3,4,1,1
50,peeledpeach2,1,6,4,6,3,1
51,tarsoap2,1,1,2,1,3,1
52,DragonfruitJelly2,4,6,6,5,2,0
53,tuna11,2,4,6,3,2,1
54,steelcube,1,1,2,1,4,1
55,cantaloupe1,1,3,4,3,2,1
56,concrete2,1,1,1,1,5,1
57,tofu6,2,4,6,4,1,1
58,towel3,4,1,4,2,2,1
59,copperBB,1,1,3,2,3,1
60,pickle1,2,3,2,3,3,0
61,ice5,1,3,4,3,3,1
62,sweetpotato3,2,2,2,2,4,1
63,GlycerinSoap3,6,3,3,6,4,0
64,quartz77,5,5,2,5,5,0
65,DriedCantaloupe4,2,2,6,2,2,0
66,marblestatue2,1,2,1,2,5,1
67,honeydew2,3,3,5,2,2,1
68,tire1,1,1,2,1,4,1
69,tulumba1,2,4,5,2,2,1
70,meat10,2,1,6,2,1,1
71,cocoon2,1,1,3,1,3,1
72,mochi13,2,5,3,3,3,1
73,pineapple5,2,4,5,3,2,1
74,tuna10BB,2,3,6,2,2,1
75,honeycomb4,4,5,5,5,3,0
76,peeledpeach1,3,6,3,5,4,1
77,ceramic3,2,5,2,2,5,1
78,honeysoap1,5,5,6,6,2,0
79,snowbow2,2,1,4,2,3,1
80,kiwi7,2,3,5,2,2,1
81,onion1,3,2,3,2,3,1
82,yellowsoap1,2,4,3,3,3,1
83,olivesoap1,1,1,3,1,3,1
84,eraser3,4,1,6,1,2,1
85,dumpling3,2,5,6,4,1,0
86,wax2,4,2,5,2,3,1
87,peeledorange3,4,2,6,6,1,0
88,resin2,6,6,2,5,3,0
89,salmon5,2,4,5,4,2,1
90,selenite3,5,1,2,4,4,0
91,gummi30,6,5,5,6,2,0
92,marzipan3,1,1,6,1,2,1
93,glasschess1,6,5,2,5,5,0
94,orangewedge5,5,6,6,5,2,0
95,peeledpumkin4,2,2,5,4,1,1
96,dragonfruit7,3,5,6,5,1,1
97,beewax12,3,3,2,2,3,1
98,fluorite1,6,4,3,3,3,0
99,bronzehead,1,6,1,1,6,1
100,beewax8,3,4,4,3,3,1
101,egg6,3,2,6,2,2,1
102,jade11,5,3,3,1,4,0
103,cheesewaxBB,3,1,5,2,1,1
104,lucitefruit3,6,6,2,1,4,0
105,bluejelly,4,2,2,3,5,1
106,tulumba4,3,1,5,1,1,1
107,eggyolk8,6,5,6,3,1,0
108,caramelcandy1,5,6,3,4,4,1
109,lucitefruit1,6,6,2,4,5,0
110,frostedglass2,6,1,2,1,5,0
111,brownrock,1,1,1,1,4,1
112,dragonfruit4,3,3,5,1,2,1
113,toy1,4,1,6,3,1,1
114,toy2BB,3,1,6,4,3,1
115,marshmallow2,2,1,6,2,1,1
116,maripan1,2,1,6,1,2,1
117,tarsoap1,1,1,5,1,2,1
118,mochi11,2,1,6,1,1,1
119,wood14,1,1,2,1,3,1
120,frostedglass3,6,1,3,2,4,0
121,Scallops3,2,5,6,2,2,1
122,carrotslice1,2,1,5,4,2,0
123,JellyMooncake1,5,4,4,5,3,0
124,meat1BB,1,1,6,1,2,1
125,cheese7,2,4,3,4,3,1
126,ambersoap,4,4,4,4,2,0
127,honeycomb3,5,5,4,4,3,0
128,cheesekeycap,2,3,4,4,1,1
129,marble3,2,5,2,2,4,1
130,SlicedBanana2,2,1,6,1,1,1
131,waxcube3,5,1,5,6,4,0
132,mantou1,2,1,6,1,1,1
133,fudge4,1,1,5,1,1,1
134,raspberry3,3,4,6,4,1,0
135,butter1,3,1,6,1,3,1
136,tofu2,2,1,6,1,1,1
137,hamslice2,4,3,6,1,2,1
138,bearBB,6,5,5,5,3,0
139,cheesewax4,2,1,4,1,1,1
140,avacado6,2,2,6,1,1,1
141,ivory2,2,1,3,1,3,1
142,jello2,6,3,4,4,3,0
143,quartz64,1,6,1,1,6,0
144,turnipslice1,4,1,6,3,1,1
145,pot3,2,1,2,1,4,1
146,palmivory3,3,3,5,2,2,1
147,soap3BB,2,2,4,4,3,1
148,clay11,1,1,2,1,4,1
149,whitejade3,2,4,3,3,4,0
150,beewax7,1,2,4,3,3,1
151,jade12,2,4,2,1,4,1
152,mangojelly3,3,3,5,5,1,1
153,marble1,1,6,2,4,4,1
154,glasschess3,6,5,2,1,5,0
155,jade5BB,2,6,3,1,3,0
156,beewax9,1,1,6,2,2,1
157,cheese12,1,1,6,1,1,1
158,seashell6,1,1,2,1,4,1
159,bowl1,2,6,2,3,4,1
160,tofu7,2,4,6,2,1,1
161,cheesecake4,1,2,6,1,1,1
162,peeledpumkin2,1,4,5,1,2,1
163,beewax4,1,1,1,1,6,1
164,metal17,1,6,1,1,6,1
165,icecream1,2,1,6,1,1,1
166,fishmeat1,2,4,6,1,1,1
167,PinkWax2,2,5,6,3,1,1
168,honeycandy2,5,5,2,5,3,0
169,metal8,6,3,2,2,4,1
170,pearl4,1,6,2,5,4,0
171,fluorite2,4,5,2,4,4,0
172,sulfursoap1,3,2,2,5,4,0
173,tuna4BB,2,3,6,2,1,1
174,cheesewax5,3,2,2,4,3,1
175,woodcube1,2,1,1,1,4,1
176,salmon3,2,4,6,4,1,1
177,jade13,2,6,1,4,6,0
178,sulfursoap2,2,3,4,2,3,1
179,fluorite4,6,2,1,2,5,0
180,sponge1,2,1,6,2,2,1
181,urethane1,2,3,5,4,2,1
182,resincube1,6,6,2,1,5,0
183,cheese16,1,1,6,1,2,1
184,beeswax1,1,2,5,2,2,1
185,cheese8,2,1,6,1,1,1
186,orangewedge1,5,5,6,5,3,0
187,pomegranate2,5,5,6,6,2,0
188,fishmeat5,2,3,6,1,1,1
189,glasschess2,5,3,3,6,4,0
190,rmeat3BB,1,1,5,1,1,1
191,sugarcube5,2,3,5,4,2,1
192,waxcube1,1,1,5,1,3,1
193,beewax6,1,1,5,1,3,1
194,meat5BB,4,5,2,2,4,1
195,sugarcube2,3,1,6,1,1,1
196,dougao1,2,2,6,1,1,1
197,mochi8,2,4,6,2,1,1
198,GlycerinSoap2,5,6,2,5,4,0
199,limesoap1,2,2,5,2,3,1
200,meat3BB,1,2,6,1,1,1
201,copper3,4,4,2,3,3,1
202,glycerin6,5,4,2,6,5,0
203,egg5,1,6,3,1,4,1
204,beeswax3,1,2,6,1,1,1
205,wax4BB,4,6,1,4,5,0
206,tofu3,1,1,6,1,1,1
207,kiwi2,2,2,6,2,2,1
208,bread2,5,1,6,1,1,1
209,JellyMooncake5,4,5,4,5,3,0
210,seashell4,4,1,1,2,5,1
211,clay12,1,1,6,1,1,1
212,crystal3,4,5,1,1,5,1
213,watermelonchunk2,4,1,6,3,1,1
214,butter4,2,2,5,1,3,1
215,icecream5,2,1,6,1,1,1
216,dougao4,4,3,4,1,2,0
217,cheese14,3,1,6,1,2,1
218,brick12,1,1,5,1,1,1
219,honey1,3,5,2,4,3,0
220,quartz80,4,5,2,2,4,0
221,botryoidal1,6,1,3,4,4,0
222,rockcandy1,6,6,2,5,4,0
223,mochi1,2,1,3,1,3,1
224,wax3,2,1,6,2,2,1
225,cantaloupe3,4,2,6,4,1,0
226,spinach3,5,2,6,2,1,1
227,peeledlemon2,3,2,6,2,1,1
228,bowl6,3,1,3,1,3,1
229,strand1,3,1,5,1,1,1
230,metal13,5,5,2,6,4,0
231,mangojelly1,3,2,4,4,3,1
232,peeledlemon5,3,3,6,3,1,1
233,fluorite7,4,4,3,4,3,1
234,greenston2,3,6,1,2,6,1
235,cucumberslice2,4,1,6,1,1,1
236,PearlOnion3,4,4,6,1,1,1
237,onion4,3,2,6,3,1,1
238,pomegranate1,5,6,6,5,2,0
239,stickytoy1,3,4,4,1,3,1
240,fluorite6,4,4,1,5,4,0
241,cheese3,2,1,5,6,4,1
242,tofu5,1,1,6,1,2,1
243,cookie3,3,1,6,1,1,1
244,pineapple2,3,3,6,3,1,1
245,strawberry2,2,1,6,2,2,1
246,cookie2,3,1,6,1,2,1
247,grapefruit4,2,6,6,2,1,1
248,plastic1BB,2,6,3,5,4,0
249,fudge2,2,1,6,1,2,1
250,DriedCantaloupe3,2,2,6,3,1,0
251,soywax4,2,1,6,1,3,1
252,chocolate13,1,1,6,1,4,1
253,meat4BB,2,1,6,1,3,1
254,granite2,2,1,3,1,3,1
