,image_name,see_throughness,glossiness,softness,glow,density,label
0,palmivory4,1,5,3,4,6,1
1,soywax2,1,4,2,2,6,1
2,grapefruit5,2,6,4,4,5,1
3,soapBB,1,2,2,1,6,1
4,bun3,2,2,4,4,4,0
5,JellyMooncake6,1,4,2,2,4,1
6,caramelcandy5,1,5,4,2,5,1
7,greencrystal,5,5,1,5,4,1
8,bronze1,1,6,1,1,6,1
9,selenite2,1,6,1,5,6,1
10,shrimp1,2,3,3,2,3,1
11,quartz10BB,3,5,1,3,5,0
12,ivory1,1,2,1,1,6,1
13,colorsoap2,1,1,1,1,6,1
14,wax14,2,1,1,3,5,1
15,peachslice2,1,1,5,2,3,1
16,yellowstone6BB,4,3,1,2,5,0
17,snowball3,2,1,6,1,3,1
18,quartz3,2,6,1,2,6,0
19,caviar2,3,6,6,4,3,0
20,glasscup1,6,6,1,1,4,0
21,resin3,3,3,1,3,3,0
22,PearlOnion2,1,3,2,1,5,1
23,sugarcube4,1,1,1,1,5,1
24,greensoap1,1,4,2,2,4,1
25,lightbulb1,2,6,1,1,5,1
26,soap7,1,1,2,1,6,1
27,dougao3,1,2,4,1,5,1
28,peeledlemon3,3,1,6,4,2,0
29,wax13,1,4,2,2,4,1
30,metal14,1,6,1,1,6,1
31,sweetpotato1,1,1,2,1,5,1
32,ice6,1,4,1,2,6,1
33,baozi2,1,1,6,1,3,1
34,glycerin4,2,2,4,2,4,1
35,mangojelly5,2,2,3,2,3,0
36,egg7,1,6,6,1,3,1
37,mochi17,1,2,2,1,3,1
38,fishmeat7,1,2,4,1,2,1
39,turnipslice2,1,1,1,1,3,1
40,plasticgear1,1,2,3,2,5,0
41,cream4,1,3,6,1,1,1
42,tuna2,2,5,6,3,5,1
43,ice2,2,3,5,3,4,1
44,marshmallow5,1,1,6,1,1,1
45,fishmeat6,3,4,5,3,3,0
46,lemonwedge4,2,5,5,4,2,0
47,choppedpotato3,1,4,3,1,4,1
48,keycap2,1,6,2,1,4,1
49,persimmon1,1,6,5,4,4,1
50,peeledpeach2,1,6,5,2,3,1
51,tarsoap2,1,1,1,1,6,1
52,DragonfruitJelly2,3,6,5,4,3,0
53,tuna11,3,3,5,4,4,1
54,steelcube,1,2,1,1,6,1
55,cantaloupe1,2,1,4,2,3,1
56,concrete2,1,1,1,1,6,1
57,tofu6,1,5,6,1,1,1
