,image_name,see_throughness,glossiness,softness,glow,density,label
0,palmivory4,1,3,2,2,3,1
1,soywax2,1,5,2,2,3,1
2,grapefruit5,3,3,4,2,2,1
3,soapBB,1,2,3,2,3,1
4,bun3,2,1,4,1,1,1
5,JellyMooncake6,1,5,2,2,4,0
6,caramelcandy5,1,3,5,2,2,1
7,greencrystal,2,4,3,2,2,0
8,bronze1,1,2,2,1,4,1
9,selenite2,3,2,1,3,3,0
10,shrimp1,3,3,2,3,3,0
11,quartz10BB,3,2,1,3,3,0
12,ivory1,1,1,1,1,6,1
13,colorsoap2,2,2,1,1,5,1
14,wax14,2,2,1,2,5,1
15,peachslice2,2,2,1,2,3,1
16,yellowstone6BB,2,2,1,2,2,0
17,snowball3,1,2,2,1,4,1
18,quartz3,1,3,2,1,1,0
19,caviar2,4,3,3,2,2,0
20,glasscup1,6,5,1,1,2,0
21,resin3,2,2,3,2,3,1
22,PearlOnion2,1,1,1,1,3,0
23,sugarcube4,1,2,2,1,3,1
24,greensoap1,2,3,2,1,2,1
25,lightbulb1,4,4,1,4,2,0
26,soap7,1,2,2,1,2,1
27,dougao3,1,3,3,2,2,1
28,peeledlemon3,1,1,3,1,2,1
29,wax13,3,3,2,3,2,0
30,metal14,3,3,3,2,2,0
31,sweetpotato1,1,2,2,1,3,1
32,ice6,2,3,1,3,4,1
33,baozi2,1,1,3,1,2,1
34,glycerin4,1,3,1,2,2,1
35,mangojelly5,1,3,2,1,2,1
36,egg7,2,3,2,3,2,0
37,mochi17,1,2,2,1,2,1
38,fishmeat7,2,2,4,1,3,1
39,turnipslice2,2,2,3,2,3,1
40,plasticgear1,3,3,1,1,3,1
41,cream4,1,2,5,1,2,1
42,tuna2,3,4,2,2,3,1
43,ice2,2,2,2,1,2,1
44,marshmallow5,1,1,4,1,3,1
45,fishmeat6,2,2,5,1,2,0
46,lemonwedge4,4,2,3,2,2,1
47,choppedpotato3,2,3,3,2,3,1
48,keycap2,1,3,3,2,3,1
49,persimmon1,2,3,2,3,3,1
50,peeledpeach2,2,5,2,3,3,0
51,tarsoap2,1,1,1,1,5,1
52,DragonfruitJelly2,2,3,5,1,2,0
53,tuna11,4,3,2,3,3,1
54,steelcube,1,1,1,1,5,1
55,cantaloupe1,2,1,3,1,3,1
56,concrete2,1,1,2,1,4,1
57,tofu6,1,3,3,1,2,1
58,towel3,1,1,4,1,2,1
59,copperBB,1,1,1,1,4,1
60,pickle1,1,3,3,1,2,0
61,ice5,1,3,3,2,3,1
62,sweetpotato3,1,2,2,1,2,1
63,GlycerinSoap3,1,3,3,2,2,1
64,quartz77,3,3,1,3,3,0
65,DriedCantaloupe4,1,3,2,1,3,1
66,marblestatue2,1,2,1,1,6,1
67,honeydew2,1,1,3,1,2,1
68,tire1,1,1,1,1,4,1
69,tulumba1,1,4,3,2,2,1
70,meat10,1,1,3,1,3,1
71,cocoon2,1,1,3,1,2,1
72,mochi13,1,5,3,1,2,1
73,pineapple5,1,2,3,1,2,1
74,tuna10BB,1,2,3,1,2,1
75,honeycomb4,1,3,4,2,2,0
76,peeledpeach1,1,3,3,1,2,0
77,ceramic3,1,4,1,1,4,1
78,honeysoap1,1,5,2,2,2,1
79,snowbow2,1,1,3,1,2,1
80,kiwi7,1,3,3,1,2,1
81,onion1,1,1,3,1,2,1
82,yellowsoap1,1,2,2,1,2,1
83,olivesoap1,1,3,1,1,4,1
84,eraser3,1,1,2,1,1,1
85,dumpling3,1,2,2,1,2,1
86,wax2,1,3,2,3,2,1
87,peeledorange3,1,2,3,1,2,1
88,resin2,3,3,1,2,4,0
89,salmon5,1,3,3,1,2,1
90,selenite3,2,3,2,1,3,1
91,gummi30,5,4,2,3,4,0
92,marzipan3,1,1,2,1,3,1
93,glasschess1,4,3,1,1,1,0
94,orangewedge5,4,3,1,2,2,0
95,peeledpumkin4,1,2,3,1,2,1
96,dragonfruit7,1,3,3,1,2,1
97,beewax12,1,4,3,1,2,1
98,fluorite1,2,3,2,1,2,0
99,bronzehead,1,4,1,1,5,1
100,beewax8,1,4,2,1,2,1
101,egg6,1,3,2,1,2,1
102,jade11,3,3,2,1,2,0
103,cheesewaxBB,1,1,2,1,3,1
104,lucitefruit3,5,4,1,3,2,0
105,bluejelly,2,4,2,1,3,0
106,tulumba4,2,4,4,2,2,1
107,eggyolk8,2,3,4,1,2,1
108,caramelcandy1,1,4,2,1,1,1
109,lucitefruit1,2,5,2,1,2,0
110,frostedglass2,3,5,2,1,2,0
111,brownrock,3,4,2,2,3,0
112,dragonfruit4,1,1,4,1,2,1
113,toy1,1,3,2,1,2,1
114,toy2BB,2,3,2,1,3,1
115,marshmallow2,1,1,6,1,1,1
116,maripan1,1,1,4,1,2,1
117,tarsoap1,1,2,2,1,2,1
118,mochi11,1,1,5,1,3,1
119,wood14,1,1,2,1,3,1
120,frostedglass3,2,2,1,1,2,1
121,Scallops3,1,4,3,1,2,1
122,carrotslice1,3,3,2,1,2,1
123,JellyMooncake1,4,4,2,2,3,0
124,meat1BB,3,3,1,1,2,1
125,cheese7,2,2,2,1,2,1
126,ambersoap,3,3,1,2,3,0
127,honeycomb3,3,4,2,2,2,0
128,cheesekeycap,2,4,2,1,1,1
129,marble3,1,2,1,2,3,0
130,SlicedBanana2,2,4,2,1,2,1
131,waxcube3,2,2,1,1,3,1
132,mantou1,1,1,4,1,2,1
133,fudge4,1,3,2,1,3,1
134,raspberry3,1,2,3,1,1,0
135,butter1,1,2,2,1,2,1
136,tofu2,1,3,3,1,2,1
137,hamslice2,1,2,1,1,2,1
138,bearBB,2,3,5,1,1,0
139,cheesewax4,1,3,3,1,2,1
140,avacado6,1,2,4,1,2,1
141,ivory2,1,2,1,1,4,1
142,jello2,4,4,2,1,2,1
143,quartz64,2,3,1,4,2,0
144,turnipslice1,1,1,4,1,1,1
145,pot3,1,1,1,1,6,1
146,palmivory3,2,4,2,1,2,1
147,soap3BB,2,3,1,1,2,1
148,clay11,1,1,2,1,2,1
149,whitejade3,2,4,2,1,3,0
150,beewax7,1,4,2,1,2,1
151,jade12,2,4,1,1,2,0
152,mangojelly3,2,3,2,2,2,0
153,marble1,2,4,1,1,2,1
154,glasschess3,5,4,1,1,2,0
155,jade5BB,4,5,1,1,3,0
156,beewax9,1,1,3,1,1,1
157,cheese12,1,2,2,1,3,1
158,seashell6,1,1,1,1,3,1
159,bowl1,2,4,1,2,2,1
160,tofu7,1,2,2,1,2,0
161,cheesecake4,1,2,3,1,2,1
162,peeledpumkin2,1,3,3,1,2,1
163,beewax4,1,2,3,1,2,1
164,metal17,1,3,1,1,4,1
165,icecream1,1,1,5,1,2,1
166,fishmeat1,1,2,4,1,2,1
167,PinkWax2,1,4,3,1,2,1
168,honeycandy2,4,5,1,2,2,0
169,metal8,2,1,1,2,3,0
170,pearl4,2,5,2,3,2,1
171,fluorite2,3,4,1,2,3,0
172,sulfursoap1,1,1,1,1,4,1
173,tuna4BB,1,1,2,1,2,1
174,cheesewax5,1,1,1,1,3,1
175,woodcube1,1,1,1,1,3,1
176,salmon3,1,3,2,1,2,1
177,jade13,2,4,2,2,2,0
178,sulfursoap2,1,2,2,1,2,1
179,fluorite4,3,2,1,2,2,0
180,sponge1,1,1,6,1,1,1
181,urethane1,1,1,1,1,1,1
182,resincube1,3,4,3,2,1,0
183,cheese16,1,1,3,1,2,1
184,beeswax1,1,2,4,1,2,1
185,cheese8,1,2,3,1,2,1
186,orangewedge1,4,4,2,2,2,1
187,pomegranate2,2,5,3,2,2,0
188,fishmeat5,1,3,2,1,3,1
189,glasschess2,2,3,1,1,1,1
190,rmeat3BB,1,2,2,1,3,1
191,sugarcube5,1,2,2,1,2,1
192,waxcube1,1,3,2,1,2,1
193,beewax6,1,1,2,1,2,1
194,meat5BB,2,4,2,1,2,1
195,sugarcube2,1,2,2,1,3,1
196,dougao1,1,3,2,1,2,1
197,mochi8,2,3,1,1,2,1
198,GlycerinSoap2,3,4,2,1,2,0
199,limesoap1,1,1,2,1,2,1
200,meat3BB,2,4,2,1,2,1
201,copper3,3,2,1,1,3,0
202,glycerin6,3,4,2,2,2,0
203,egg5,1,4,2,2,2,1
204,beeswax3,1,3,2,2,2,1
205,wax4BB,3,4,2,2,2,0
206,tofu3,1,1,3,1,2,1
207,kiwi2,1,2,4,1,2,1
208,bread2,1,1,5,1,1,1
209,JellyMooncake5,2,3,1,1,2,0
210,seashell4,1,3,1,1,2,1
211,clay12,1,1,4,1,4,1
212,crystal3,2,2,1,2,3,0
213,watermelonchunk2,2,3,2,1,2,1
214,butter4,2,2,2,1,2,1
215,icecream5,1,1,6,1,2,1
216,dougao4,1,3,2,1,2,1
217,cheese14,1,3,2,1,2,1
218,brick12,1,1,1,2,3,1
219,honey1,1,3,1,1,2,0
220,quartz80,1,3,2,1,3,0
221,botryoidal1,3,4,2,1,2,1
222,rockcandy1,4,4,3,1,2,0
223,mochi1,4,3,2,1,2,1
224,wax3,1,2,1,1,3,1
225,cantaloupe3,1,1,3,1,2,1
226,spinach3,2,1,2,1,1,1
227,peeledlemon2,1,3,3,1,2,1
228,bowl6,2,4,1,1,3,1
229,strand1,1,1,5,1,2,1
230,metal13,2,4,2,2,3,0
231,mangojelly1,2,3,2,2,3,1
232,peeledlemon5,2,4,3,1,2,0
233,fluorite7,3,3,1,2,3,1
234,greenston2,3,4,1,2,3,0
235,cucumberslice2,2,1,3,1,2,1
236,PearlOnion3,1,4,1,2,2,1
237,onion4,1,2,2,1,3,1
238,pomegranate1,2,3,2,1,3,0
239,stickytoy1,3,4,2,1,2,0
240,fluorite6,2,3,1,2,3,0
241,cheese3,2,1,1,2,3,0
242,tofu5,1,2,3,1,3,1
243,cookie3,1,1,2,1,2,1
244,pineapple2,2,2,3,1,2,1
245,strawberry2,2,3,4,1,2,1
246,cookie2,1,1,3,1,1,1
247,grapefruit4,1,3,3,1,2,1
248,plastic1BB,1,2,2,1,2,1
249,fudge2,1,2,2,1,2,1
250,DriedCantaloupe3,2,3,2,1,2,0
