,image_name,average_see_through,average_gloss,average_softness,average_glow,average_density,see_through_avg_rank,gloss_avg_rank,softness_avg_rank,glow_avg_rank,density_avg_rank,total vote,label,agreement
0,palmivory4,1.4,4.5,1.65,2.2,4.65,183.0,23.0,234.0,22.0,16.0,16,opaque,0.8
1,soywax2,1.05,4.65,1.45,1.6,4.55,290.0,14.0,251.0,129.0,28.0,18,opaque,0.9
2,grapefruit5,2.55,4.15,4.7,2.2,2.75,47.0,41.0,12.0,22.0,238.0,4,translucent,0.8
3,soapBB,1.6,1.65,2.85,1.65,4.1,148.0,239.0,136.0,115.0,53.0,20,opaque,1.0
4,bun3,2.5,2.35,3.85,2.35,2.85,49.0,177.0,69.0,15.0,222.0,9,unsure,0.55
5,JellyMooncake6,1.5,4.65,2.3,2.05,4.1,166.0,14.0,182.0,45.0,53.0,10,unsure,0.5
6,caramelcandy5,1.35,3.1,5.15,1.55,3.45,196.0,124.0,5.0,143.0,130.0,18,opaque,0.9
7,greencrystal,3.1,3.55,1.75,2.1,3.75,26.0,85.0,227.0,35.0,84.0,8,translucent,0.6
8,bronze1,1.2,2.8,1.15,1.45,4.65,250.0,144.0,294.0,178.0,16.0,20,opaque,1.0
9,selenite2,2.0,2.65,1.6,2.45,4.5,84.0,161.0,239.0,8.0,32.0,12,opaque,0.6
10,shrimp1,3.2,2.7,4.2,2.3,2.75,23.0,154.0,41.0,17.0,238.0,4,translucent,0.8
11,quartz10BB,2.95,3.35,1.1,2.7,4.9,30.0,103.0,297.0,2.0,9.0,4,translucent,0.8
12,ivory1,1.15,1.65,1.35,1.25,5.35,266.0,239.0,270.0,237.0,1.0,20,opaque,1.0
13,colorsoap2,1.3,2.1,2.4,1.05,4.25,208.0,195.0,170.0,293.0,46.0,18,opaque,0.9
14,wax14,2.1,2.55,1.65,2.5,4.05,78.0,169.0,234.0,7.0,57.0,13,opaque,0.65
15,peachslice2,1.8,2.1,4.75,1.65,2.9,104.0,195.0,11.0,115.0,213.0,15,opaque,0.75
16,yellowstone6BB,2.3,2.3,1.65,2.2,4.55,65.0,181.0,234.0,22.0,28.0,7,translucent,0.65
17,snowball3,1.65,2.8,3.75,1.7,2.95,136.0,144.0,77.0,105.0,207.0,18,opaque,0.9
18,quartz3,2.5,3.1,1.7,2.0,4.6,49.0,124.0,231.0,52.0,23.0,6,translucent,0.7
19,caviar2,4.85,4.7,4.85,3.1,2.15,3.0,12.0,10.0,1.0,292.0,0,translucent,1.0
20,glasscup1,6.0,5.5,1.5,2.65,3.9,1.0,1.0,247.0,4.0,71.0,0,translucent,1.0
21,resin3,2.6,2.1,1.8,1.8,3.9,46.0,195.0,223.0,80.0,71.0,7,translucent,0.65
22,PearlOnion2,1.8,2.8,2.8,1.7,3.3,104.0,144.0,139.0,105.0,145.0,13,opaque,0.65
23,sugarcube4,1.1,1.25,2.15,1.15,3.75,279.0,280.0,195.0,272.0,84.0,19,opaque,0.95
24,greensoap1,1.55,3.95,2.95,1.8,3.2,154.0,58.0,128.0,80.0,172.0,18,opaque,0.9
25,lightbulb1,3.15,4.95,2.35,2.35,3.5,24.0,5.0,175.0,15.0,123.0,5,translucent,0.75
26,soap7,1.3,2.5,2.2,1.4,3.65,208.0,171.0,191.0,195.0,100.0,18,opaque,0.9
27,dougao3,1.75,2.95,3.0,1.45,3.25,120.0,137.0,123.0,178.0,157.0,17,opaque,0.85
28,peeledlemon3,1.85,1.65,4.45,1.5,2.95,98.0,239.0,28.0,159.0,207.0,11,unsure,0.55
29,wax13,2.9,3.45,2.65,2.15,3.05,33.0,92.0,149.0,28.0,195.0,4,translucent,0.8
30,metal14,1.35,3.3,1.85,1.85,4.7,196.0,108.0,218.0,73.0,15.0,11,unsure,0.55
31,sweetpotato1,1.35,1.5,2.35,1.1,4.0,196.0,258.0,175.0,283.0,61.0,18,opaque,0.9
32,ice6,1.8,2.7,1.3,1.65,4.45,104.0,154.0,274.0,115.0,33.0,13,opaque,0.65
33,baozi2,1.15,1.55,4.5,1.45,2.95,266.0,252.0,25.0,178.0,207.0,18,opaque,0.9
34,glycerin4,1.85,2.9,2.15,1.65,3.25,98.0,140.0,195.0,115.0,157.0,13,opaque,0.65
35,mangojelly5,2.5,2.7,3.05,1.55,3.4,49.0,154.0,120.0,143.0,139.0,10,unsure,0.5
36,egg7,1.9,4.35,3.95,2.3,2.85,93.0,28.0,62.0,17.0,222.0,10,unsure,0.5
37,mochi17,1.55,2.1,2.85,1.4,3.25,154.0,195.0,136.0,195.0,157.0,16,opaque,0.8
