,image_name,see_throughness,glossiness,softness,glow,density,label
0,palmivory4,2,4,1,2,5,0
1,soywax2,1,4,1,1,5,1
2,grapefruit5,4,4,6,2,2,0
3,soapBB,2,3,5,2,3,1
4,bun3,2,5,2,3,3,0
5,JellyMooncake6,2,4,6,2,3,0
6,caramelcandy5,3,4,6,2,3,1
7,greencrystal,6,4,1,3,5,0
8,bronze1,1,2,1,1,6,1
9,selenite2,2,2,4,2,4,0
10,shrimp1,3,4,5,2,4,0
11,quartz10BB,2,4,1,2,6,0
12,ivory1,1,1,1,1,5,1
13,colorsoap2,2,2,5,1,4,0
14,wax14,2,3,2,2,4,0
15,peachslice2,2,2,6,2,4,1
16,yellowstone6BB,1,2,1,1,6,1
17,snowball3,2,3,6,2,2,1
18,quartz3,2,3,1,2,6,1
19,caviar2,5,4,6,3,3,0
20,glasscup1,6,6,5,1,5,0
21,resin3,3,2,2,2,5,0
22,PearlOnion2,1,4,5,1,4,1
23,sugarcube4,1,1,5,1,3,1
24,greensoap1,2,4,5,1,4,1
25,lightbulb1,2,6,5,5,4,0
26,soap7,1,4,2,1,4,1
27,dougao3,3,3,3,2,3,1
28,peeledlemon3,4,3,6,2,3,0
29,wax13,5,4,4,2,4,1
30,metal14,1,3,2,1,5,0
31,sweetpotato1,1,2,4,1,4,1
32,ice6,3,3,2,3,4,1
33,baozi2,1,2,6,1,3,1
34,glycerin4,2,2,5,2,3,1
35,mangojelly5,4,3,5,1,5,0
36,egg7,2,4,6,2,3,0
37,mochi17,2,4,5,1,4,0
38,fishmeat7,3,3,2,2,4,1
39,turnipslice2,2,2,4,2,4,0
40,plasticgear1,1,2,2,1,5,0
41,cream4,1,3,6,2,1,1
42,tuna2,1,3,1,2,6,0
43,ice2,1,3,1,1,6,1
44,marshmallow5,1,1,3,1,2,1
45,fishmeat6,3,3,3,3,3,0
46,lemonwedge4,3,4,6,2,3,0
47,choppedpotato3,1,3,4,1,3,1
48,keycap2,4,5,6,3,1,1
49,persimmon1,2,4,4,1,3,0
50,peeledpeach2,1,5,4,1,3,0
51,tarsoap2,1,2,2,1,4,1
52,DragonfruitJelly2,5,5,6,3,1,0
53,tuna11,4,4,6,2,3,0
54,steelcube,1,6,1,1,6,1
55,cantaloupe1,1,4,4,1,3,1
56,concrete2,1,1,1,1,6,1
57,tofu6,2,3,6,1,1,1
58,towel3,4,1,6,1,2,1
59,copperBB,1,4,1,1,6,1
60,pickle1,1,4,5,1,2,0
61,ice5,4,3,6,1,2,0
62,sweetpotato3,1,1,2,1,5,1
63,GlycerinSoap3,1,4,1,1,5,1
64,quartz77,1,4,2,1,5,0
65,DriedCantaloupe4,4,4,6,1,1,0
66,marblestatue2,1,4,1,1,5,1
67,honeydew2,2,3,6,1,2,0
68,tire1,1,1,3,1,5,1
69,tulumba1,2,4,5,1,2,0
70,meat10,1,3,5,1,3,1
71,cocoon2,2,1,6,1,2,1
72,mochi13,2,4,5,1,2,0
73,pineapple5,2,3,5,1,2,1
74,tuna10BB,2,4,6,1,2,1
75,honeycomb4,6,5,6,1,1,0
76,peeledpeach1,1,5,5,1,2,0
77,ceramic3,1,5,2,1,5,1
78,honeysoap1,5,5,2,1,5,0
79,snowbow2,3,3,5,1,2,1
80,kiwi7,2,3,6,1,2,1
81,onion1,1,3,5,1,2,1
82,yellowsoap1,1,4,4,1,3,1
83,olivesoap1,1,1,2,1,4,1
84,eraser3,1,1,6,1,3,1
85,dumpling3,2,3,6,1,2,1
86,wax2,2,3,3,1,4,1
87,peeledorange3,4,2,6,1,2,0
88,resin2,6,5,1,1,5,0
89,salmon5,2,3,6,1,2,1
90,selenite3,4,2,2,1,5,1
91,gummi30,6,5,1,1,5,0
92,marzipan3,3,3,6,1,2,1
93,glasschess1,6,4,1,1,5,0
94,orangewedge5,4,4,6,1,2,0
95,peeledpumkin4,1,2,5,1,2,1
96,dragonfruit7,1,3,6,1,2,1
97,beewax12,1,4,5,1,2,1
98,fluorite1,4,4,2,1,4,0
99,bronzehead,1,5,1,1,5,1
100,beewax8,2,4,4,1,3,0
101,egg6,1,4,6,1,2,0
102,jade11,4,3,1,1,5,0
103,cheesewaxBB,1,2,3,1,3,1
